OrderDate,Region,City,Category,Product,Quantity,UnitPrice,TotalPrice
2020-01-01,East,Boston,Bars,Carrot,33.0,1.77,58.41
2020-01-04,East,Boston,Crackers,Whole Wheat,87.0,3.49,303.63
2020-01-07,West,Los Angeles,Cookies,Chocolate Chip,58.0,1.87,108.46
2020-01-10,East,New York,Cookies,Chocolate Chip,82.0,1.87,153.34
2020-01-13,East,Boston,Cookies,Arrowroot,38.0,2.18,82.84
2020-01-16,East,Boston,Bars,Carrot,54.0,1.77,95.58
2020-01-19,East,Boston,Crackers,Whole Wheat,149.0,3.49,520.01
2020-01-22,West,Los Angeles,Bars,Carrot,51.0,1.77,90.27
2020-01-25,East,New York,Bars,Carrot,100.0,1.77,177.0
2020-01-28,East,New York,Snacks,Potato Chips,28.0,1.35,37.8
2020-01-31,East,Boston,Cookies,Arrowroot,36.0,2.18,78.48
2020-02-03,East,Boston,Cookies,Chocolate Chip,31.0,1.87,57.97
2020-02-06,East,Boston,Crackers,Whole Wheat,28.0,3.49,97.72
2020-02-09,West,Los Angeles,Bars,Carrot,44.0,1.77,77.88
2020-02-12,East,New York,Bars,Carrot,23.0,1.77,40.71
2020-02-15,East,New York,Snacks,Potato Chips,27.0,1.35,36.45
2020-02-18,East,Boston,Cookies,Arrowroot,43.0,2.18,93.74
2020-02-21,East,Boston,Cookies,Oatmeal Raisin,123.0,2.84,349.32
2020-02-24,West,Los Angeles,Bars,Bran,42.0,1.87,78.54
2020-02-27,West,Los Angeles,Cookies,Oatmeal Raisin,33.0,2.84,93.72
2020-03-02,East,New York,Cookies,Chocolate Chip,85.0,1.87,158.95
2020-03-05,West,San Diego,Cookies,Oatmeal Raisin,30.0,2.84,85.2
2020-03-08,East,Boston,Bars,Carrot,61.0,1.77,107.97
2020-03-11,East,Boston,Crackers,Whole Wheat,40.0,3.49,139.6
2020-03-14,West,Los Angeles,Cookies,Chocolate Chip,86.0,1.87,160.82
2020-03-17,East,New York,Bars,Carrot,38.0,1.77,67.26
2020-03-20,East,New York,Snacks,Potato Chips,68.0,1.68,114.24
2020-03-23,West,San Diego,Cookies,Chocolate Chip,39.0,1.87,72.93
2020-03-26,East,Boston,Bars,Bran,103.0,1.87,192.61
2020-03-29,East,Boston,Cookies,Oatmeal Raisin,193.0,2.84,548.12
2020-04-01,West,Los Angeles,Bars,Carrot,58.0,1.77,102.66
2020-04-04,West,Los Angeles,Snacks,Potato Chips,68.0,1.68,114.24
2020-04-07,East,New York,Bars,Carrot,91.0,1.77,161.07
2020-04-10,East,New York,Crackers,Whole Wheat,23.0,3.49,80.27
2020-04-13,West,San Diego,Snacks,Potato Chips,28.0,1.68,47.04
2020-04-16,East,Boston,Bars,Carrot,48.0,1.77,84.96
2020-04-19,East,Boston,Snacks,Potato Chips,134.0,1.68,225.12
2020-04-22,West,Los Angeles,Bars,Carrot,20.0,1.77,35.4
2020-04-25,East,New York,Bars,Carrot,53.0,1.77,93.81
2020-04-28,East,New York,Snacks,Potato Chips,64.0,1.68,107.52
2020-05-01,West,San Diego,Cookies,Chocolate Chip,63.0,1.87,117.81
2020-05-04,East,Boston,Bars,Bran,105.0,1.87,196.35
2020-05-07,East,Boston,Cookies,Oatmeal Raisin,138.0,2.84,391.92
2020-05-10,West,Los Angeles,Bars,Carrot,25.0,1.77,44.25
2020-05-13,West,Los Angeles,Crackers,Whole Wheat,21.0,3.49,73.29
2020-05-16,East,New York,Bars,Carrot,61.0,1.77,107.97
2020-05-19,East,New York,Snacks,Potato Chips,49.0,1.68,82.32
2020-05-22,West,San Diego,Cookies,Chocolate Chip,55.0,1.87,102.85
2020-05-25,East,Boston,Cookies,Arrowroot,27.0,2.18,58.86
2020-05-28,East,Boston,Bars,Carrot,58.0,1.77,102.66
2020-05-31,East,Boston,Crackers,Whole Wheat,33.0,3.49,115.17
2020-06-03,West,Los Angeles,Cookies,Oatmeal Raisin,288.0,2.84,817.92
2020-06-06,East,New York,Cookies,Chocolate Chip,76.0,1.87,142.12
2020-06-09,West,San Diego,Bars,Carrot,42.0,1.77,74.34
2020-06-12,West,San Diego,Crackers,Whole Wheat,20.0,3.49,69.8
2020-06-15,East,Boston,Bars,Carrot,75.0,1.77,132.75
2020-06-18,East,Boston,Crackers,Whole Wheat,38.0,3.49,132.62
2020-06-21,West,Los Angeles,Bars,Carrot,306.0,1.77,541.62
2020-06-24,West,Los Angeles,Snacks,Potato Chips,28.0,1.68,47.04
2020-06-27,East,New York,Bars,Bran,110.0,1.87,205.7
2020-06-30,East,New York,Cookies,Oatmeal Raisin,51.0,2.84,144.84
2020-07-03,West,San Diego,Bars,Carrot,52.0,1.77,92.04
2020-07-06,West,San Diego,Crackers,Whole Wheat,28.0,3.49,97.72
2020-07-09,East,Boston,Bars,Carrot,136.0,1.77,240.72
2020-07-12,East,Boston,Crackers,Whole Wheat,42.0,3.49,146.58
2020-07-15,West,Los Angeles,Cookies,Chocolate Chip,75.0,1.87,140.25
2020-07-18,East,New York,Bars,Bran,72.0,1.87,134.64
2020-07-21,East,New York,Cookies,Oatmeal Raisin,56.0,2.84,159.04
2020-07-24,West,San Diego,Bars,Bran,51.0,1.87,95.37
2020-07-27,West,San Diego,Snacks,Potato Chips,31.0,1.68,52.08
2020-07-30,East,Boston,Bars,Bran,56.0,1.87,104.72
2020-08-02,East,Boston,Cookies,Oatmeal Raisin,137.0,2.84,389.08
2020-08-05,West,Los Angeles,Cookies,Chocolate Chip,107.0,1.87,200.09
2020-08-08,East,New York,Bars,Carrot,24.0,1.77,42.48
2020-08-11,East,New York,Crackers,Whole Wheat,30.0,3.49,104.7
2020-08-14,West,San Diego,Cookies,Chocolate Chip,70.0,1.87,130.9
2020-08-17,East,Boston,Cookies,Arrowroot,31.0,2.18,67.58
2020-08-20,East,Boston,Bars,Carrot,109.0,1.77,192.93
2020-08-23,East,Boston,Crackers,Whole Wheat,21.0,3.49,73.29
2020-08-26,West,Los Angeles,Cookies,Chocolate Chip,80.0,1.87,149.6
2020-08-29,East,New York,Bars,Bran,75.0,1.87,140.25
2020-09-01,East,New York,Cookies,Oatmeal Raisin,74.0,2.84,210.16
2020-09-04,West,San Diego,Bars,Carrot,45.0,1.77,79.65
2020-09-07,East,Boston,Cookies,Arrowroot,28.0,2.18,61.04
2020-09-10,East,Boston,Bars,Carrot,143.0,1.77,253.11
2020-09-13,East,Boston,Snacks,Pretzels,27.0,3.15,85.05
2020-09-16,West,Los Angeles,Bars,Carrot,133.0,1.77,235.41
2020-09-19,East,New York,Cookies,Arrowroot,110.0,2.18,239.8
2020-09-22,East,New York,Cookies,Chocolate Chip,65.0,1.87,121.55
